               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12805,            0.027596,            0.047968,                   0,                   0,                   0,                   0,              0.1429,            0.019284,            0.047701,              0.0937,              0.0007,              0.0007
                   1,             0.11487,             0.02625,            0.044544,                   0,                   0,                   0,                   0,             0.12744,             0.01767,            0.040785,            0.086481,           0.0014814,           0.0014814
                   2,             0.10168,            0.027142,            0.044113,          0.00016961,            0.035714,            0.002489,           0.0004978,             0.11253,            0.017665,            0.037591,            0.079243,           0.0022431,           0.0022431
                   3,             0.09222,            0.027821,            0.041496,          0.00055351,             0.10714,            0.037364,           0.0075938,             0.10111,            0.017381,            0.033558,            0.071985,           0.0029849,           0.0029849
                   4,            0.082691,            0.026466,            0.040231,           0.0012182,             0.18452,           0.0021698,          0.00049758,             0.11011,            0.017677,            0.033951,            0.064707,           0.0037069,           0.0037069
                   5,            0.075198,            0.026935,            0.038839,             0.57098,            0.035714,            0.040238,            0.011818,            0.092407,            0.016783,            0.034581,            0.057409,           0.0044092,           0.0044092
                   6,            0.067925,            0.024864,            0.037585,           0.0013876,             0.19048,           0.0058097,           0.0023909,            0.085818,            0.018544,            0.037618,            0.050092,           0.0050916,           0.0050916
                   7,            0.065609,            0.027582,            0.037452,           0.0022963,             0.27619,            0.012064,           0.0033237,            0.084106,            0.018169,            0.034194,            0.042754,           0.0057543,           0.0057543
                   8,            0.064051,             0.02652,            0.035921,           0.0019375,             0.25119,           0.0097341,           0.0018502,            0.097507,            0.019765,            0.033673,            0.035397,           0.0063971,           0.0063971
                   9,             0.06554,            0.026128,            0.034804,            0.010495,            0.035714,            0.013442,           0.0037466,            0.090239,            0.019371,            0.033152,             0.02802,           0.0070201,           0.0070201
                  10,            0.061284,            0.025651,            0.032142,              0.9585,            0.035714,            0.044725,            0.015061,            0.084429,            0.019687,            0.030186,            0.020623,           0.0076234,           0.0076234
                  11,            0.064146,            0.024656,            0.031687,            0.090123,            0.062021,            0.041267,            0.017931,            0.065096,            0.019673,            0.028974,            0.013207,           0.0082068,           0.0082068
                  12,            0.059036,            0.021341,            0.031299,             0.86981,            0.035714,             0.03022,           0.0089778,            0.068058,            0.016239,            0.027994,            0.008515,            0.008515,            0.008515
                  13,            0.059545,            0.020229,            0.029883,             0.95263,            0.035714,            0.066847,            0.015726,            0.073498,            0.017463,             0.02588,            0.008515,            0.008515,            0.008515
                  14,            0.057552,            0.021305,            0.028888,             0.37063,             0.07372,             0.10909,            0.040954,            0.063141,            0.017338,            0.024177,           0.0083913,           0.0083913,           0.0083913
                  15,            0.053676,            0.021666,            0.028361,            0.060259,             0.10714,             0.10105,            0.042029,            0.071117,            0.016853,            0.023021,           0.0082675,           0.0082675,           0.0082675
